selection_rank,model,complete_mae_kw,complete_rmse_kw,complete_r2,complete_mean_residual_kw,complete_negative_predictions,daylight_mae_kw,daylight_rmse_kw,daylight_r2,daylight_mean_residual_kw,daylight_negative_predictions,selected_on_calibration
1,MODEL 3 — Random Forest,0.1469836924162743,0.2675734575270319,0.9573725527163004,-0.1431131541904898,2699,0.2978089668852763,0.3810558685639563,0.9136206568640662,-0.2901477977288009,1546,True
2,MODEL 4 — XGBoost,0.14858964757652776,0.2681944381966562,0.9571744647777174,-0.14493351802604199,7642,0.3009903585310005,0.3819370748326131,0.9132206838529927,-0.2938035296713685,1641,False
3,MODEL 1 — Basic Linear Regression,0.219133438283203,0.3472528401882769,0.9282048878966582,-0.1500123218273026,67696,0.3450904928416358,0.4800644628146881,0.8629018152800272,-0.2718680474198474,3616,False
4,MODEL 2 — Engineered Linear Regression,0.1908542678823713,0.3475236656648138,0.9280928569759724,-0.1550791517371011,89715,0.3516745562586176,0.4929594199764124,0.85543774032468,-0.3207096273253798,9872,False
5,MODEL 0 — Mean Baseline,1.1589250657840109,1.3011901133369197,-0.0080562682207951,-0.1163229281616872,0,1.2956207117686611,1.5334889890701058,-0.3989233270595012,0.818895382243534,0,False
