model,dataset,evaluation_subset,observation_count,mae_kw,rmse_kw,r2,mean_residual_kw,median_residual_kw,residual_standard_deviation_kw,mean_measured_power_kw,mean_predicted_power_kw,minimum_prediction_kw,maximum_prediction_kw,negative_prediction_count,residual_definition,evaluation_stage,prediction_clipping_applied
MODEL 3 — Random Forest,Out-of-time 2023–2025,Complete period,236384,0.20837255927368334,0.3617422437580377,0.9061262935994945,-0.2011135943914604,-0.00041868169174321464,0.30068384238273715,0.8199367078026206,1.0210503021940813,-0.00599577082924369,4.567899573407539,2185,measured_minus_predicted,Post-selection out-of-time temporal evaluation,False
MODEL 3 — Random Forest,Out-of-time 2023–2025,Daylight: GHI > 10 W/m²,114693,0.4289689849178142,0.5193243618203367,0.8077814200809496,-0.41420442022874077,-0.4532313630938538,0.3132610589318001,1.6898321493306747,2.104036569559415,-0.00599577082924369,4.567899573407539,1317,measured_minus_predicted,Post-selection out-of-time temporal evaluation,False
